name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
Tether,usdt,0.998963,185181894117,143577770612,0.04685,2026-02-01_01-56-09
BNB,bnb,783.4,106792304394,2359809580,-8.23033,2026-02-01_01-56-09
XRP,xrp,1.65,100549172377,6413664843,-5.06586,2026-02-01_01-56-09
Bitcoin,btc,78863.0,1577268215936,81849082395,-6.12832,2026-02-01_04-28-11
Ethereum,eth,2445.47,295479252115,50055298899,-9.41532,2026-02-01_04-28-11
Tether,usdt,0.99902,185190646343,145771775500,0.04907,2026-02-01_04-28-11
BNB,bnb,782.69,106736870633,2707082587,-8.1083,2026-02-01_04-28-11
XRP,xrp,1.67,101542879562,6538549710,-4.47957,2026-02-01_04-28-11
Bitcoin,btc,78506.0,1569216801358,82870912322,-6.43149,2026-02-01_05-57-21
Ethereum,eth,2427.77,292934559488,51858924783,-9.8952,2026-02-01_05-57-21
Tether,usdt,0.998897,185171315469,147216185251,0.05218,2026-02-01_05-57-21
BNB,bnb,779.55,106297289352,2798925106,-8.32426,2026-02-01_05-57-21
XRP,xrp,1.66,101049486882,6405811141,-4.30391,2026-02-01_05-57-21
Bitcoin,btc,78254.0,1565165730875,83620440991,-6.40148,2026-02-01_06-51-15
Ethereum,eth,2416.42,291437087333,53091652264,-10.07593,2026-02-01_06-51-15
Tether,usdt,0.998913,185177148658,147754987493,0.05209,2026-02-01_06-51-15
BNB,bnb,777.64,106026694770,2783225317,-8.43834,2026-02-01_06-51-15
XRP,xrp,1.66,100800830652,6612595688,-3.83299,2026-02-01_06-51-15
Bitcoin,btc,78173.0,1562052539612,84124807770,-6.28298,2026-02-01_07-34-30
Ethereum,eth,2406.4,290170989295,52830324561,-10.12865,2026-02-01_07-34-30
Tether,usdt,0.999007,185189523389,148989361372,0.06106,2026-02-01_07-34-30
BNB,bnb,774.45,105520600181,2811531651,-8.53827,2026-02-01_07-34-30
XRP,xrp,1.65,100246446631,6434783219,-4.27982,2026-02-01_07-34-30
Bitcoin,btc,78337.0,1565060118537,83552472843,-5.57464,2026-02-01_08-27-24
Ethereum,eth,2402.51,290343455312,52817865344,-9.66401,2026-02-01_08-27-24
Tether,usdt,0.998972,185177285989,148030554058,0.05423,2026-02-01_08-27-24
BNB,bnb,775.52,105799436526,2802635215,-7.8785,2026-02-01_08-27-24
XRP,xrp,1.66,101147149427,6526064559,-2.47067,2026-02-01_08-27-24
Bitcoin,btc,78656.0,1571762991170,81135935597,-5.19247,2026-02-01_09-26-41
Ethereum,eth,2412.23,290997974692,51045927750,-8.37635,2026-02-01_09-26-41
Tether,usdt,0.998966,185181065877,145457929395,0.05061,2026-02-01_09-26-41
BNB,bnb,777.28,106029768705,2756456672,-7.03072,2026-02-01_09-26-41
XRP,xrp,1.66,100832654569,6380080434,-2.34654,2026-02-01_09-26-41
Bitcoin,btc,78983.0,1578338716476,82190075155,-4.69567,2026-02-01_10-21-14
Ethereum,eth,2429.03,293168699181,48590163482,-7.98159,2026-02-01_10-21-14
Tether,usdt,0.999025,185193848923,145879348349,0.05689,2026-02-01_10-21-14
BNB,bnb,779.38,106300515445,2758631766,-6.82456,2026-02-01_10-21-14
XRP,xrp,1.66,101068535745,6367437260,-2.02043,2026-02-01_10-21-14
Bitcoin,btc,78348.0,1566171150249,83265519238,-5.49272,2026-02-01_11-18-19
Ethereum,eth,2386.86,288146017378,53103219702,-9.56185,2026-02-01_11-18-19
Tether,usdt,0.999089,185196574939,147153872487,0.0664,2026-02-01_11-18-19
